Date,SPY,LQD,IEF
2024-04-12,501.5525207519531,98.50680541992188,86.7581558227539
2024-04-15,495.2690124511719,97.42012786865234,86.20365142822266
2024-04-16,494.3656921386719,97.09504699707031,85.86531066894531
2024-04-17,491.4399108886719,97.62443542480469,86.41043853759766
2024-04-18,490.4287109375,97.42939758300781,86.10967254638672
2024-04-19,486.1481018066406,97.53156280517578,86.22245025634766
2024-04-22,490.6250915527344,97.7730484008789,86.23184204101562
2024-04-23,496.4471130371094,97.94020080566406,86.34461975097656
2024-04-24,496.2115173339844,97.55941772460938,86.08145904541016
2024-04-25,494.3264465332031,97.27151489257812,85.75252532958984
2024-04-26,499.0096435546875,97.64299774169922,85.98748779296875
2024-04-29,500.7768859863281,98.05168914794922,86.3352279663086
2024-04-30,492.84393310546875,97.51299285888672,85.93109130859375
